,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,17,16,1322,14.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.1,0.05,0.09,0.14,0.05,0.14,Matches
1,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,3,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.43,0.0,0.43,0.43,0.43,Matches
2,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,13,6,683,7.6,0,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,0.8,1.0,0.03,0.1,0.13,0.03,0.13,Matches
3,Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,15,8,731,8.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.06,0.07,0.13,0.06,0.13,Matches
4,Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,7,5,441,4.9,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,Paul Akouokou,ci CIV,MF,Betis,23-055,1997,8,4,373,4.1,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.09,0.09,0.0,0.09,Matches
6,Jony Álamo,es ESP,MF,Elche,19-141,2001,1,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
7,Jordi Alba,es ESP,DF,Barcelona,31-329,1989,19,19,1648,18.3,1,3,1,0,0,7,0,0.05,0.16,0.22,0.05,0.22,0.7,0.7,4.3,5.0,0.04,0.23,0.27,0.04,0.27,Matches
8,Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,22,22,1960,21.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.03,0.0,0.03,0.03,0.03,Matches
9,Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,14,11,913,10.1,5,3,4,1,2,0,0,0.49,0.3,0.79,0.39,0.69,5.7,4.2,2.1,6.3,0.56,0.21,0.77,0.41,0.62,Matches
10,Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,9,5,633,7.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches
11,Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,17,13,1197,13.3,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,1.1,1.1,0.5,1.6,0.09,0.03,0.12,0.09,0.12,Matches
12,Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,10,2,298,3.3,1,0,1,0,0,2,0,0.3,0.0,0.3,0.3,0.3,0.7,0.7,0.2,0.9,0.2,0.06,0.27,0.2,0.27,Matches
13,Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,2,0,48,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
14,Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,6,5,467,5.2,0,2,0,0,0,1,0,0.0,0.39,0.39,0.0,0.39,0.4,0.4,0.9,1.3,0.07,0.18,0.25,0.07,0.25,Matches
15,Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,19,12,1101,12.2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,1.0,0.01,0.07,0.08,0.01,0.08,Matches
16,Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13,13,1170,13.0,1,0,1,0,0,6,0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.4,0.8,0.04,0.03,0.06,0.04,0.06,Matches
17,Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,12,2,359,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.09,0.02,0.1,0.09,0.1,Matches
18,Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,1,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.5,0.0,0.5,0.5,0.5,Matches
19,Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,20,20,1781,19.8,2,0,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1,1.1,1.1,0.9,2.0,0.06,0.04,0.1,0.06,0.1,Matches
20,Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,21,17,1615,17.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.01,0.02,0.04,0.01,0.04,Matches
21,Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,12,11,936,10.4,1,0,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.0,0.4,0.04,0.0,0.04,0.04,0.04,Matches
22,Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,18,15,1383,15.4,0,1,0,0,0,6,0,0.0,0.07,0.07,0.0,0.07,0.5,0.5,0.6,1.0,0.03,0.04,0.07,0.03,0.07,Matches
23,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,3,0,39,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,Sergio Arribas,es ESP,FW,Real Madrid,19-136,2001,3,0,46,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
25,Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22,22,1980,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,20,12,1099,12.2,2,2,2,0,0,1,0,0.16,0.16,0.33,0.16,0.33,2.4,2.4,1.8,4.2,0.19,0.15,0.34,0.19,0.34,Matches
27,Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,20,20,1736,19.3,9,6,6,3,3,5,0,0.47,0.31,0.78,0.31,0.62,8.8,6.5,5.3,11.8,0.48,0.29,0.77,0.35,0.64,Matches
28,Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,2,1,112,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
29,Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,2,1,101,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.15,0.0,0.15,0.15,0.15,Matches
30,Carlos Bacca,co COL,FW,Villarreal,34-158,1986,13,3,304,3.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.12,0.22,0.35,0.12,0.35,Matches
31,Édgar Badía,es ESP,GK,Elche,29-001,1992,21,21,1890,21.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
33,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,17,4,458,5.1,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.5,1.5,0.6,2.1,0.3,0.12,0.42,0.3,0.42,Matches
34,Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,10,5,591,6.6,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
35,Sergio Barcia,es ESP,DF,Granada,20-044,2000,1,1,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
36,Enis Bardhi,mk MKD,MF,Levante,25-226,1995,11,7,632,7.0,0,2,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28,1.8,1.8,0.5,2.3,0.25,0.07,0.32,0.25,0.32,Matches
37,Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,19,6,564,6.3,0,2,0,0,0,1,0,0.0,0.32,0.32,0.0,0.32,0.6,0.6,1.3,1.9,0.1,0.2,0.31,0.1,0.31,Matches
38,Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.33,0.35,0.02,0.35,Matches
39,Antonio Barragán,es ESP,DF,Elche,33-246,1987,16,16,1395,15.5,0,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches
40,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,18,9,781,8.7,2,0,2,0,0,4,0,0.23,0.0,0.23,0.23,0.23,1.3,1.3,0.8,2.0,0.15,0.09,0.24,0.15,0.24,Matches
41,Marc Bartra,es ESP,DF,Betis,30-029,1991,13,13,1154,12.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.03,0.0,0.04,0.03,0.04,Matches
42,Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,20,18,1515,16.8,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.03,0.0,0.03,0.03,0.03,Matches
43,Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,11,0,175,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.17,0.03,0.19,0.17,0.19,Matches
44,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,18,8,749,8.3,2,0,2,0,0,3,0,0.24,0.0,0.24,0.24,0.24,1.2,1.2,0.2,1.5,0.15,0.03,0.18,0.15,0.18,Matches
45,Sergio Benito,es ESP,FW,Valladolid,21-327,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
46,Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,20,20,1771,19.7,11,5,11,0,0,1,0,0.56,0.25,0.81,0.56,0.81,9.7,9.7,2.3,12.0,0.49,0.12,0.61,0.49,0.61,Matches
47,Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,18,16,1274,14.2,0,3,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21,0.7,0.7,1.7,2.3,0.05,0.12,0.16,0.05,0.16,Matches
48,Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,18,13,1119,12.4,3,2,3,0,0,3,0,0.24,0.16,0.4,0.24,0.4,2.3,2.3,1.7,3.9,0.18,0.13,0.32,0.18,0.32,Matches
49,Pedro Bigas,es ESP,DF,Eibar,30-151,1990,18,17,1408,15.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.03,0.0,0.03,0.03,0.03,Matches
50,Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,7,2,257,2.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.11,0.02,0.13,0.11,0.13,Matches
51,Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16,16,1440,16.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
52,Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,9,2,251,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05,Matches
53,Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18,18,1620,18.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
54,Lucas Boyé,ar ARG,FW,Elche,24-351,1996,18,16,1328,14.8,4,1,4,0,0,5,1,0.27,0.07,0.34,0.27,0.34,2.1,2.1,0.4,2.6,0.16,0.03,0.19,0.16,0.19,Matches
55,Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,18,10,910,10.1,2,0,2,0,1,1,0,0.2,0.0,0.2,0.2,0.2,4.7,4.0,0.8,4.8,0.47,0.08,0.55,0.39,0.47,Matches
56,Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,5,2,198,2.2,1,0,1,0,0,1,0,0.45,0.0,0.45,0.45,0.45,0.6,0.6,0.0,0.6,0.28,0.01,0.29,0.28,0.29,Matches
57,Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
58,Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9,9,810,9.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
59,Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,13,6,568,6.3,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.01,Matches
60,Bryan,es ESP,FW,Sevilla,20-002,2001,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
61,Bryan,es ESP,"MF,FW",Eibar,20-002,2001,14,13,1178,13.1,3,1,3,0,0,2,0,0.23,0.08,0.31,0.23,0.31,1.5,1.2,3.5,4.7,0.12,0.27,0.39,0.09,0.36,Matches
62,Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,14,9,737,8.2,5,0,5,0,0,2,0,0.61,0.0,0.61,0.61,0.61,4.6,4.6,0.5,5.1,0.56,0.06,0.62,0.56,0.62,Matches
63,Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,12,10,939,10.4,3,1,1,2,2,5,0,0.29,0.1,0.38,0.1,0.19,2.6,1.1,0.1,1.2,0.25,0.01,0.26,0.1,0.11,Matches
64,Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,19,16,1298,14.4,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.13,0.13,0.0,0.13,Matches
65,Erick Cabaco,uy URU,DF,Getafe,25-300,1995,15,11,990,11.0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
66,Cala,es ESP,DF,Cádiz,31-079,1989,18,18,1540,17.1,1,0,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Matches
67,Jonathan Calleri,ar ARG,FW,Osasuna,27-143,1993,16,13,1006,11.2,4,1,4,0,0,3,0,0.36,0.09,0.45,0.36,0.45,4.0,4.0,0.9,4.8,0.35,0.08,0.43,0.35,0.43,Matches
68,Dani Calvo,es ESP,DF,Elche,26-318,1994,8,4,429,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
69,José Campaña,es ESP,MF,Levante,27-258,1993,9,8,748,8.3,1,2,0,1,1,0,0,0.12,0.24,0.36,0.0,0.24,1.4,0.7,1.4,2.0,0.17,0.16,0.34,0.08,0.25,Matches
70,Sergio Canales,es ESP,"MF,FW",Betis,29-363,1991,16,14,1240,13.8,7,4,5,2,2,2,0,0.51,0.29,0.8,0.36,0.65,3.1,1.5,2.7,4.3,0.22,0.2,0.42,0.11,0.31,Matches
71,Ander Capa,es ESP,DF,Athletic Club,29-005,1992,20,20,1669,18.5,2,1,2,0,0,4,0,0.11,0.05,0.16,0.11,0.16,1.0,1.0,1.2,2.2,0.05,0.06,0.12,0.05,0.12,Matches
72,Étienne Capoue,fr FRA,MF,Villarreal,32-217,1988,4,4,317,3.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Matches
73,Isaac Carcelen,es ESP,DF,Cádiz,27-296,1993,18,18,1440,16.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches
74,Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
75,Marc Cardona,es ESP,"FW,MF",Osasuna,25-220,1995,3,0,53,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.3,0.0,0.3,0.3,0.3,Matches
76,Diego Carlos,br BRA,DF,Sevilla,27-335,1993,19,18,1618,18.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
77,Juan Carlos,es ESP,"MF,FW",Huesca,29-335,1991,12,3,275,3.1,0,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,0.5,0.5,0.3,0.8,0.15,0.1,0.25,0.15,0.25,Matches
78,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,27-162,1993,15,10,938,10.4,2,4,2,0,0,2,0,0.19,0.38,0.58,0.19,0.58,1.7,1.7,2.6,4.3,0.16,0.25,0.42,0.16,0.42,Matches
79,Sergio Carreira,es ESP,DF,Celta Vigo,20-123,2000,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,0.4,0.4,0.0,0.4,0.13,0.0,0.13,0.13,0.13,Matches
80,Guido Carrillo,ar ARG,FW,Elche,29-264,1991,9,4,305,3.4,2,1,2,0,0,1,0,0.59,0.3,0.89,0.59,0.89,1.0,1.0,0.0,1.0,0.42,0.0,0.42,0.42,0.42,Matches
81,Dani Carvajal,es ESP,DF,Real Madrid,29-033,1992,10,9,826,9.2,0,2,0,0,0,5,0,0.0,0.22,0.22,0.0,0.22,0.6,0.6,0.7,1.2,0.06,0.07,0.13,0.06,0.13,Matches
82,William Carvalho,pt POR,MF,Betis,28-312,1992,16,10,976,10.8,2,0,2,0,0,1,0,0.18,0.0,0.18,0.18,0.18,0.8,0.8,0.5,1.2,0.07,0.04,0.11,0.07,0.11,Matches
83,Casemiro,br BRA,MF,Real Madrid,28-356,1992,19,17,1575,17.5,4,0,4,0,0,8,0,0.23,0.0,0.23,0.23,0.23,2.0,2.0,0.8,2.9,0.12,0.05,0.16,0.12,0.16,Matches
84,Sofian Chakla,ma MAR,DF,Getafe,27-164,1993,3,3,270,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
85,Sofian Chakla,ma MAR,DF,Villarreal,27-164,1993,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.39,0.0,0.39,0.39,0.39,Matches
86,Chema,es ESP,"DF,MF",Getafe,28-347,1992,4,4,276,3.1,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.05,0.0,0.05,Matches
87,Denis Cheryshev,ru RUS,MF,Valencia,30-049,1990,13,10,807,9.0,0,2,0,0,0,2,0,0.0,0.22,0.22,0.0,0.22,1.4,1.4,1.7,3.2,0.16,0.19,0.35,0.16,0.35,Matches
88,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21-267,1999,17,6,707,7.9,1,2,1,0,0,0,0,0.13,0.25,0.38,0.13,0.38,1.2,1.2,1.0,2.2,0.15,0.13,0.28,0.15,0.28,Matches
89,Víctor Chust,es ESP,DF,Real Madrid,20-345,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
90,Cifu,es ESP,DF,Elche,30-131,1990,6,3,317,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04,Matches
91,Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
92,Carlos Clerc,es ESP,DF,Levante,28-358,1992,20,19,1717,19.1,0,2,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,0.3,0.3,2.5,2.8,0.01,0.13,0.15,0.01,0.15,Matches
93,Coke,es ESP,DF,Levante,33-293,1987,8,4,327,3.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,Matches
94,Francis Coquelin,fr FRA,MF,Villarreal,29-276,1991,14,6,497,5.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,0.03,0.05,0.08,0.03,0.08,Matches
95,Iñigo Córdoba,es ESP,MF,Alavés,23-337,1997,1,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
96,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23-337,1997,3,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,Matches
97,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25-341,1995,20,13,1115,12.4,3,6,3,0,0,2,0,0.24,0.48,0.73,0.24,0.73,2.5,2.3,2.7,4.9,0.2,0.22,0.42,0.18,0.4,Matches
98,Rober Correa,es ESP,DF,Eibar,28-146,1992,9,8,671,7.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
99,Thierry Correia,pt POR,DF,Valencia,21-341,1999,15,11,1011,11.2,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,0.02,0.06,0.07,0.02,0.07,Matches
100,Diego Costa,es ESP,FW,Atlético Madrid,32-129,1988,7,2,208,2.3,2,0,1,1,1,1,0,0.87,0.0,0.87,0.43,0.43,1.4,0.6,0.3,1.0,0.6,0.14,0.74,0.27,0.41,Matches
101,Jaume Costa,es ESP,"DF,MF",Villarreal,32-332,1988,7,1,185,2.1,0,1,0,0,0,0,0,0.0,0.49,0.49,0.0,0.49,0.0,0.0,0.2,0.2,0.01,0.09,0.1,0.01,0.1,Matches
102,Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22,22,1980,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
103,Philippe Coutinho,br BRA,"MF,FW",Barcelona,28-246,1992,12,8,654,7.3,2,2,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,3.9,3.9,0.9,4.7,0.53,0.12,0.65,0.53,0.65,Matches
104,Juan Cruz Armada,es ESP,DF,Osasuna,28-200,1992,17,15,1335,14.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches
105,Sergio Cubero Ezcurra,es ESP,MF,Eibar,21-161,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
