player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,1470,194,819,722,26,14,1434,5,9,55.6,5,1,933,5016,2714,42,3,0,5,12,988,962,97.4,5,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,869,26,222,550,174,13,825,23,32,71.9,23,0,595,3510,1695,60,22,2,6,18,628,565,90.0,14,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,1094,24,332,664,164,9,1070,8,15,53.3,8,0,747,3139,1632,57,13,1,19,24,775,712,91.9,18,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,137,4,14,69,58,18,129,7,11,63.6,7,0,72,257,107,6,3,2,15,7,214,99,46.3,24,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,135,19,94,44,3,3,131,0,0,,0,0,71,382,222,2,0,0,0,0,76,76,100.0,0,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,1044,25,235,667,209,12,1010,36,49,73.5,37,2,744,3687,2081,91,24,5,17,27,829,763,92.0,22,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,1873,172,818,1118,46,26,1825,4,7,57.1,5,0,1282,6008,3399,80,9,0,2,8,1420,1404,98.9,4,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,1472,41,334,728,496,36,1287,20,34,58.8,22,2,892,4585,2817,135,39,3,18,21,1056,914,86.6,83,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,393,13,97,255,82,12,387,15,19,78.9,16,0,292,1757,1034,33,9,2,18,16,313,268,85.6,19,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,628,26,139,406,117,17,624,10,14,71.4,12,1,395,1682,845,33,13,0,13,16,446,391,87.7,16,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,17,1,9,6,3,2,17,0,0,,0,0,6,27,12,1,0,0,1,0,12,10,83.3,2,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,173,2,39,101,48,5,153,8,10,80.0,9,0,133,537,367,19,6,1,4,4,137,128,93.4,7,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,759,28,76,406,314,105,711,10,17,58.8,10,0,396,1804,929,52,14,15,47,21,943,564,59.8,156,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,65,1,10,27,29,8,63,4,7,57.1,5,0,41,205,119,6,0,2,3,8,99,47,47.5,16,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,538,24,193,258,111,7,459,10,18,55.6,11,0,318,1391,855,28,6,2,4,8,318,295,92.8,14,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,112,1,13,50,60,10,111,3,8,37.5,3,0,82,383,287,17,8,1,13,9,120,77,64.2,20,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,12,0,2,6,4,1,12,1,1,100.0,1,0,7,4,2,0,0,0,3,2,9,8,88.9,3,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,141,123,141,0,0,0,106,2,2,100.0,2,0,75,254,99,0,0,0,0,0,69,69,100.0,0,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,482,19,127,309,64,11,473,5,6,83.3,5,0,305,1084,564,17,4,4,4,12,347,315,90.8,3,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,69,4,20,33,24,0,63,1,1,100.0,1,0,44,313,188,13,3,0,0,3,53,47,88.7,1,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,524,35,192,261,107,9,461,11,19,57.9,12,0,269,1207,674,29,12,3,6,12,300,276,92.0,22,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,257,3,13,144,121,25,246,13,20,65.0,13,0,193,1071,574,25,13,4,13,31,310,197,63.5,53,Matches
Joachim Andersen,dk DEN,DF,Lyon,24-258,1996,2.1,138,15,68,64,14,2,132,0,0,,0,0,82,455,251,9,2,0,0,4,98,96,98.0,2,Matches
Benjamin André,fr FRA,MF,Lille,30-194,1990,20.4,1493,44,305,1011,251,23,1476,21,32,65.6,22,0,880,3949,1824,86,21,1,16,36,1072,976,91.0,58,Matches
Victorien Angban,ci CIV,MF,Metz,24-137,1996,16.4,912,21,224,561,194,9,896,22,29,75.9,22,0,693,3310,1538,55,16,0,18,31,681,643,94.4,27,Matches
Houssem Aouar,fr FRA,MF,Lyon,22-228,1998,14.0,926,6,81,494,428,93,898,34,53,64.2,37,0,725,3726,2407,119,32,17,29,38,895,766,85.6,109,Matches
Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18-213,2002,12.4,674,7,80,367,283,32,590,26,43,60.5,29,4,460,2787,1569,76,19,10,24,31,565,473,83.7,67,Matches
Dennis Appiah,fr FRA,DF,Nantes,28-249,1992,9.8,629,33,227,292,146,9,527,6,9,66.7,7,0,308,1553,880,44,14,2,7,10,354,319,90.1,19,Matches
Luiz Araújo,br BRA,MF,Lille,24-256,1996,10.7,552,7,68,273,275,35,540,31,52,59.6,33,2,418,2699,1592,82,22,10,17,22,469,389,82.9,59,Matches
Karim Aribi,dz ALG,FW,Nîmes,26-234,1994,2.7,90,2,14,41,44,14,81,3,6,50.0,3,0,44,185,86,3,2,1,10,6,155,61,39.4,17,Matches
Roger Assalé,ci CIV,"FW,MF",Dijon,27-092,1993,4.9,178,1,27,90,80,12,177,13,18,72.2,13,0,141,919,556,27,11,4,14,14,217,135,62.2,32,Matches
Youcef Attal,dz ALG,DF,Nice,24-272,1996,5.4,432,17,139,198,133,10,370,11,18,61.1,11,1,267,1430,899,39,8,4,13,11,303,266,87.8,13,Matches
Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,0.4,8,0,1,7,2,0,6,0,0,,0,0,3,11,0,0,1,0,1,0,14,5,35.7,1,Matches
Ludovic Baal,gf GUF,DF,Brest,34-265,1986,3.2,274,19,105,155,27,0,254,6,7,85.7,6,1,186,920,522,14,1,0,3,3,194,185,95.4,2,Matches
Loïc Bade,fr FRA,DF,Lens,20-308,2000,17.0,1325,180,763,650,29,8,1310,11,11,100.0,11,0,840,6094,3580,53,9,1,6,7,867,853,98.4,5,Matches
Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,11.2,410,7,17,219,199,56,382,11,20,55.0,13,1,276,1202,598,35,12,10,39,25,590,301,51.0,98,Matches
Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,15.1,1191,47,269,563,422,21,1094,12,20,60.0,12,2,803,2863,1352,66,28,2,12,13,902,845,93.7,49,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,0.6,58,0,4,41,13,1,58,1,3,33.3,1,0,47,248,85,6,0,1,3,1,58,49,84.5,3,Matches
Leonardo Balerdi,ar ARG,"DF,MF",Marseille,22-018,1999,6.5,393,44,227,184,17,10,382,2,6,33.3,2,0,232,1203,616,9,1,0,3,4,261,250,95.8,2,Matches
Fodé Ballo-Touré,fr FRA,DF,Monaco,24-041,1997,6.3,428,11,97,228,125,16,367,2,7,28.6,3,0,266,1308,733,31,10,5,6,6,306,274,89.5,26,Matches
Abdoulaye Bamba,ci CIV,DF,Angers,30-294,1990,10.3,694,24,206,361,156,5,562,3,6,50.0,4,1,402,1274,699,24,12,0,5,5,437,406,92.9,16,Matches
Jonathan Bamba,fr FRA,MF,Lille,24-324,1996,22.6,1481,21,162,784,677,61,1391,37,77,48.1,37,5,1129,6291,3391,177,61,19,46,67,1319,1108,84.0,185,Matches
Robson Bambu,br BRA,DF,Nice,23-093,1997,9.6,729,124,450,300,20,3,696,1,2,50.0,1,0,486,3071,1615,35,1,0,1,7,530,518,97.7,2,Matches
Simon Banza,fr FRA,FW,Lens,24-184,1996,10.4,369,11,26,186,168,51,363,7,14,50.0,7,0,201,886,490,25,10,3,35,22,466,268,57.5,84,Matches
Danilo Barbosa,br BRA,DF,Nice,24-351,1996,2.8,229,34,125,115,4,1,227,1,1,100.0,1,0,163,1152,653,20,0,0,1,1,170,168,98.8,0,Matches
Melvin Bard,fr FRA,DF,Lyon,20-099,2000,3.4,342,7,73,167,124,9,292,7,10,70.0,8,1,202,1004,701,40,11,4,6,4,204,193,94.6,12,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24-080,1996,21.3,1185,34,258,759,246,34,1139,17,27,63.0,18,0,851,4504,1891,80,20,1,34,20,991,889,89.7,47,Matches
Cristian Battocchio,it ITA,"MF,FW",Brest,29-003,1992,3.9,235,8,52,129,61,2,214,4,5,80.0,4,0,155,600,305,15,3,0,2,2,189,162,85.7,8,Matches
Paul Baysse,fr FRA,DF,Bordeaux,32-271,1988,19.7,1363,165,731,689,17,8,1327,2,2,100.0,2,0,889,4237,2488,53,2,0,5,3,994,972,97.8,5,Matches
Haris Belkebla,dz ALG,MF,Brest,27-016,1994,20.7,1194,80,381,683,197,12,1173,17,25,68.0,17,0,866,4173,2098,60,11,2,14,19,873,821,94.0,28,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,22-231,1998,15.4,750,15,108,414,298,42,724,34,53,64.2,35,1,573,3444,1751,85,23,15,38,40,632,512,81.0,60,Matches
Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,33-343,1987,13.8,806,1,58,475,358,43,706,59,84,70.2,59,2,633,4040,2353,126,38,17,31,59,748,620,82.9,74,Matches
Salim Ben Seghir,fr FRA,DF,Nice,17-355,2003,0.1,9,0,1,5,3,0,9,1,1,100.0,1,0,8,33,18,2,0,0,1,0,7,7,100.0,2,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30-185,1990,18.4,768,3,45,365,410,114,708,27,43,62.8,30,0,518,2498,1571,92,27,20,42,41,889,563,63.3,176,Matches
Samy Benchama,fr FRA,MF,Montpellier,20-233,2000,0.0,4,0,0,1,3,0,4,0,1,0.0,0,0,3,4,0,0,0,0,0,0,3,3,100.0,0,Matches
Darío Benedetto,ar ARG,FW,Marseille,30-272,1990,15.2,454,15,31,243,205,58,441,12,24,50.0,16,3,251,991,331,25,8,7,35,27,661,344,52.0,114,Matches
Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,831,770,829,2,0,0,605,0,0,,0,0,380,1435,737,0,0,0,1,0,397,395,99.5,0,Matches
Loris Benito,ch SUI,DF,Bordeaux,29-037,1992,18.7,1322,71,486,704,194,11,1135,3,6,50.0,4,1,802,4195,1887,66,24,1,5,7,866,815,94.1,19,Matches
Bilal Benkhedim,fr FRA,FW,Saint-Étienne,19-299,2001,0.8,59,0,5,30,27,3,51,2,2,100.0,2,0,40,202,93,5,1,0,6,1,49,39,79.6,5,Matches
Djamel Benlamri,dz ALG,DF,Lyon,31-050,1989,0.8,46,8,22,27,0,0,46,0,0,,0,0,23,118,61,1,0,0,0,0,28,28,100.0,0,Matches
Yassine Benrahou,fr FRA,MF,Nîmes,22-020,1999,6.2,381,5,51,190,164,17,330,9,18,50.0,9,0,252,1182,639,30,14,3,13,23,328,262,79.9,27,Matches
Valon Berisha,xk KVX,MF,Reims,28-006,1993,15.1,1039,24,197,626,295,23,957,8,15,53.3,9,0,692,3993,2351,111,37,2,14,16,832,740,88.9,51,Matches
Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,652,557,650,2,0,0,420,0,0,,0,0,260,1117,688,0,0,0,0,0,198,198,100.0,0,Matches
Juan Bernat,es ESP,DF,Paris S-G,27-349,1993,2.2,157,6,34,69,58,2,139,3,5,60.0,3,0,106,306,119,8,2,0,1,4,111,107,96.4,5,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,194,167,194,1,0,0,124,0,0,,0,0,87,396,230,0,0,0,0,0,70,70,100.0,0,Matches
Giulian Biancone,fr FRA,"DF,MF",Monaco,20-319,2000,1.0,109,5,22,47,47,4,99,1,3,33.3,1,0,63,374,209,10,2,2,2,3,78,72,92.3,8,Matches
El Bilal Touré,ml MLI,"FW,MF",Reims,19-133,2001,9.3,294,14,33,170,110,28,274,7,14,50.0,9,1,145,641,318,16,7,5,24,16,400,188,47.0,53,Matches
Ludovic Blas,fr FRA,"MF,FW",Nantes,23-044,1997,17.5,795,6,81,466,321,64,768,58,96,60.4,66,3,627,3431,1822,96,30,9,32,51,737,574,77.9,114,Matches
Antonin Bobichon,fr FRA,"FW,MF",Angers,25-152,1995,5.0,290,2,27,155,134,14,265,9,12,75.0,9,1,207,1081,522,29,12,3,6,14,252,199,79.0,34,Matches
Sacha Boey,fr FRA,DF,Rennes,20-153,2000,1.4,105,0,28,56,24,2,87,0,2,0.0,1,0,56,137,61,2,0,0,3,2,64,60,93.8,2,Matches
Sacha Boey,fr FRA,DF,Dijon,20-153,2000,14.0,905,63,309,422,215,12,737,13,22,59.1,14,0,426,2014,994,42,10,2,13,18,518,452,87.3,29,Matches
Quentin Boisgard,fr FRA,"FW,MF",Lorient,23-333,1997,11.8,585,5,76,231,320,27,503,19,23,82.6,20,0,359,1714,948,52,17,4,29,38,483,362,74.9,72,Matches
Sven Botman,nl NED,DF,Lille,21-032,2000,24.0,1898,174,966,1002,36,17,1865,6,6,100.0,6,0,1207,5752,2870,80,6,0,5,3,1386,1357,97.9,4,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26-094,1994,19.0,794,25,126,358,364,111,757,40,83,48.2,41,1,505,2566,1704,90,27,17,66,43,916,533,58.2,134,Matches
Hicham Boudaoui,dz ALG,"MF,FW",Nice,21-143,1999,10.5,619,23,155,349,158,15,615,10,17,58.8,12,0,404,2146,1041,47,16,4,20,15,528,440,83.3,38,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,30-360,1990,6.0,437,1,59,250,166,11,390,15,19,78.9,15,1,300,1513,864,33,12,0,13,15,401,322,80.3,30,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27-149,1993,4.2,236,1,46,117,102,15,229,27,40,67.5,30,0,201,1095,681,30,12,2,5,23,203,165,81.3,17,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,27-354,1993,19.6,1190,10,135,681,491,46,1028,44,65,67.7,46,2,828,5968,2885,144,54,16,37,29,984,802,81.5,85,Matches
Ismaëlben Boura,fr FRA,DF,Lens,20-183,2000,6.8,446,13,101,240,138,6,370,12,17,70.6,12,0,269,1347,823,39,15,1,17,11,281,247,87.9,17,Matches
Benjamin Bourigeaud,fr FRA,MF,Rennes,27-030,1994,17.0,1332,24,178,734,471,37,1189,4,8,50.0,5,0,791,2815,1277,57,24,3,15,11,1055,939,89.0,66,Matches
John Boye,gh GHA,DF,Metz,33-296,1987,21.4,1022,159,628,405,24,12,999,4,4,100.0,4,0,538,2181,724,8,1,0,5,5,581,567,97.6,3,Matches
Umut Bozok,tr TUR,"FW,MF",Lorient,24-147,1996,0.7,43,0,3,25,19,3,43,2,4,50.0,2,0,33,164,69,6,4,0,6,1,47,34,72.3,10,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21-065,1999,13.3,981,34,253,505,290,16,868,9,13,69.2,9,1,594,2976,1916,98,26,6,7,11,651,611,93.9,51,Matches
Lilian Brassier,fr FRA,DF,Brest,21-103,1999,2.0,131,20,59,58,23,0,115,2,2,100.0,2,0,83,386,224,10,4,0,0,5,85,78,91.8,5,Matches
Anthony Briançon,fr FRA,DF,Nîmes,26-077,1994,12.0,870,133,563,349,18,5,831,1,2,50.0,1,0,526,2944,1634,29,8,0,0,0,587,576,98.1,0,Matches
Jimmy Briand,fr FRA,FW,Bordeaux,35-195,1985,5.5,208,3,26,121,63,15,204,1,3,33.3,1,0,116,450,167,9,1,1,15,12,267,159,59.6,34,Matches
Dylan Bronn,tn TUN,DF,Metz,25-239,1995,24.0,1253,147,673,635,45,12,1211,10,11,90.9,10,0,812,4458,2686,73,10,0,4,10,830,813,98.0,4,Matches
Lucas Buadés,fr FRA,FW,Nîmes,23-047,1997,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
Patrick Burner,fr FRA,DF,Nice,24-308,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
Patrick Burner,fr FRA,DF,Nîmes,24-308,1996,10.2,584,39,209,277,123,5,469,7,12,58.3,8,0,300,1267,782,29,10,2,5,6,334,302,90.4,8,Matches
Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,32,29,31,1,0,0,30,0,0,,0,0,21,90,33,0,0,0,0,0,16,16,100.0,0,Matches
Jimmy Cabot,fr FRA,FW,Angers,26-301,1994,8.0,428,4,84,202,180,23,419,27,51,52.9,31,4,328,1682,893,47,17,6,15,17,376,292,77.7,44,Matches
Anthony Caci,fr FRA,DF,Strasbourg,23-227,1997,17.5,1281,48,449,667,250,8,1088,16,24,66.7,16,1,783,3805,1980,72,26,2,11,11,780,748,95.9,21,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,23-325,1997,15.4,739,14,129,372,300,31,701,15,34,44.1,16,1,515,3215,1921,89,28,10,32,22,619,523,84.5,69,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36-026,1985,15.3,712,35,137,473,123,7,686,4,7,57.1,5,0,364,1797,958,50,9,0,11,5,480,426,88.8,25,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,31,31,31,0,0,0,24,0,0,,0,0,15,50,27,0,0,0,0,0,12,12,100.0,0,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24-149,1996,19.9,1311,206,762,582,26,14,1267,4,4,100.0,4,0,743,3630,1811,38,5,0,1,0,892,869,97.4,8,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,22-228,1998,22.8,1357,63,388,873,195,20,1307,19,27,70.4,19,1,874,5194,2681,118,30,2,17,22,975,891,91.4,29,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18-095,2002,15.6,1144,17,205,798,261,17,1127,24,35,68.6,24,1,802,4562,2724,100,41,5,30,18,959,877,91.4,55,Matches
Pierrick Capelle,fr FRA,"MF,FW",Angers,33-304,1987,13.4,818,35,189,444,234,29,791,13,27,48.1,16,0,524,2432,1030,47,19,1,25,26,654,539,82.4,57,Matches
Maxence Caqueret,fr FRA,MF,Lyon,20-364,2000,11.1,704,15,99,420,223,21,696,17,26,65.4,18,1,478,2230,972,46,15,1,16,26,534,498,93.3,41,Matches
Irvin Cardona,fr FRA,FW,Brest,23-189,1997,15.6,535,20,63,219,288,92,503,10,21,47.6,10,0,323,1763,1059,59,12,17,49,21,656,399,60.8,148,Matches
Lionel Carole,fr FRA,DF,Strasbourg,29-307,1991,10.0,688,31,223,356,157,7,571,3,9,33.3,3,0,374,2171,1319,49,21,2,10,3,397,368,92.7,18,Matches
Moreto Cassamã,gw GNB,MF,Reims,22-363,1998,12.9,929,38,329,599,74,2,907,18,19,94.7,18,1,693,3279,1581,44,12,0,7,11,697,666,95.6,11,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26-018,1995,10.5,542,76,292,253,13,8,520,3,3,100.0,3,0,299,1251,686,13,2,0,2,1,298,292,98.0,1,Matches
Zeki Çelik,tr TUR,DF,Lille,23-362,1997,14.8,1001,47,299,545,217,23,837,15,21,71.4,15,1,573,2808,1661,76,16,6,12,10,620,572,92.3,35,Matches
Bersant Celina,xk KVX,"MF,FW",Dijon,24-157,1996,15.5,770,6,83,421,326,27,681,20,36,55.6,23,1,501,2610,1565,80,33,3,27,24,719,543,75.5,92,Matches
Fabien Centonze,fr FRA,DF,Metz,25-028,1996,23.0,1454,108,525,642,381,18,1225,44,75,58.7,51,4,781,5116,3311,136,43,3,29,28,791,689,87.1,39,Matches
Fouad Chafik,ma MAR,DF,Dijon,34-120,1986,10.9,733,48,281,392,130,4,620,9,13,69.2,9,0,411,2742,1707,59,22,2,3,8,450,428,95.1,8,Matches
Mehdi Chahiri,ma MAR,"FW,MF",Strasbourg,24-203,1996,8.0,380,4,43,177,189,27,373,26,40,65.0,27,1,295,1267,651,31,12,4,24,27,376,266,70.7,64,Matches
Aníbal Chalá,ec ECU,DF,Dijon,24-280,1996,4.4,297,19,116,157,43,1,255,3,5,60.0,3,0,171,1006,635,22,4,1,3,1,191,178,93.2,6,Matches
Trevoh Chalobah,eng ENG,"MF,DF",Lorient,21-223,1999,11.6,664,49,207,400,98,8,644,22,32,68.8,24,0,410,1636,904,32,14,1,15,13,429,399,93.0,12,Matches
Gaëtan Charbonnier,fr FRA,"MF,FW",Brest,32-048,1988,9.8,526,10,41,262,245,49,494,19,24,79.2,19,2,356,1154,469,33,17,3,28,17,570,406,71.2,96,Matches
Brendan Chardonnet,fr FRA,DF,Brest,26-053,1994,16.2,1095,209,686,440,49,21,1066,1,1,100.0,1,0,679,3562,2099,50,13,0,3,1,733,724,98.8,3,Matches
Xavier Chavalerin,fr FRA,MF,Reims,29-343,1991,15.4,688,33,221,379,121,14,674,9,11,81.8,9,0,381,1583,654,22,9,0,8,10,480,423,88.1,25,Matches
Pape Cheikh Diop,sn SEN,MF,Dijon,23-189,1997,11.3,670,26,199,435,84,5,659,10,15,66.7,11,0,455,2500,1442,50,7,1,8,12,506,471,93.1,8,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17-180,2003,4.8,266,0,17,121,155,28,258,26,36,72.2,26,1,241,1513,1058,66,13,8,12,12,257,218,84.8,42,Matches
Pedro Chirivella,es ESP,MF,Nantes,23-266,1997,12.4,741,10,152,530,97,9,724,2,5,40.0,2,0,493,2427,1264,37,5,0,8,7,590,545,92.4,19,Matches
Joris Chotard,fr FRA,MF,Montpellier,19-142,2001,8.6,313,18,93,167,63,9,300,8,11,72.7,9,3,157,645,303,20,2,1,11,7,210,169,80.5,23,Matches
Mounir Chouiar,fr FRA,"FW,MF",Dijon,22-021,1999,11.6,587,11,105,312,228,36,546,37,65,56.9,40,2,442,2386,1552,78,18,9,31,42,517,403,77.9,48,Matches
Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,21,19,21,0,0,0,17,1,1,100.0,1,0,13,79,49,0,0,0,0,0,12,12,100.0,0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,22-252,1998,7.8,345,7,49,164,167,19,333,11,19,57.9,12,0,274,1598,899,34,13,2,12,20,341,263,77.1,52,Matches
Jonathan Clauss,fr FRA,DF,Lens,28-141,1992,15.2,949,27,166,430,430,37,775,9,19,47.4,10,1,505,3237,2252,121,48,8,26,12,615,521,84.7,60,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,24-234,1996,12.5,646,12,93,334,267,33,634,25,38,65.8,25,1,448,2057,981,46,19,2,28,36,624,459,73.6,82,Matches
Racine Coly,sn SEN,DF,Nice,25-067,1995,0.2,21,1,6,16,2,0,17,0,0,,0,0,13,70,60,2,1,0,0,1,14,13,92.9,0,Matches
Daniel Congré,fr FRA,DF,Montpellier,35-314,1985,23.7,1292,148,663,665,50,18,1251,3,4,75.0,3,0,724,4086,2424,45,4,0,4,3,816,802,98.3,5,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30-104,1990,14.2,841,35,193,397,292,17,638,9,28,32.1,11,2,443,2223,1276,68,20,6,11,9,518,431,83.2,23,Matches
Maxwel Cornet,ci CIV,"DF,FW",Lyon,24-139,1996,17.4,1304,56,409,620,346,40,1134,14,21,66.7,14,0,750,3843,2384,101,24,11,18,24,867,806,93.0,75,Matches
David Pereira da Costa,pt POR,"MF,DF",Lens,20-039,2001,0.4,29,0,4,17,10,0,28,0,0,,0,0,22,141,88,5,1,0,0,0,25,22,88.0,0,Matches
