player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,129,127,2,1,0,21,5,6,1,0,0,0,108,5,16,113,13,2,0,1,105,2,6,2,3,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,1053,996,57,30,0,110,40,13,0,0,0,0,747,110,196,794,179,45,11,3,921,2,19,9,10,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,418,406,12,11,1,59,19,0,0,0,0,0,309,38,71,68,322,18,1,2,371,3,5,8,1,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,195,190,5,0,0,60,6,3,2,0,0,0,133,35,27,160,19,2,1,1,140,1,6,4,14,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,230,226,4,2,2,33,4,1,0,0,0,0,171,34,25,42,176,7,0,2,185,1,7,6,11,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,978,830,148,41,8,163,40,16,72,38,17,9,694,107,177,45,903,9,13,5,746,6,14,21,23,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,800,770,30,24,0,46,51,6,0,0,0,0,558,79,163,120,614,36,3,2,693,3,12,3,2,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,1151,1100,51,34,0,132,59,5,0,0,0,0,904,92,155,75,1030,30,3,4,1033,3,12,16,23,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,335,262,73,14,0,38,22,39,9,2,5,1,160,59,116,122,159,2,50,2,232,1,12,8,8,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,538,517,21,19,0,63,16,0,1,1,0,0,407,61,70,53,454,20,1,1,451,3,5,12,9,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,6,6,0,0,0,1,0,0,0,0,0,0,4,1,1,3,2,1,0,0,2,0,1,0,1,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,677,457,220,64,2,64,9,0,0,0,0,0,287,40,350,57,483,0,0,107,464,2,10,1,1,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,1116,915,201,20,0,115,17,68,0,0,0,0,607,245,264,841,54,30,181,2,845,1,13,22,51,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,457,428,29,4,0,25,6,3,0,0,0,0,382,46,29,43,373,10,25,1,425,1,6,3,6,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,781,739,42,33,1,91,36,5,1,1,0,0,509,115,157,139,600,35,0,1,617,4,17,21,14,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,766,747,19,19,0,120,11,0,0,0,0,0,622,85,59,140,581,20,0,3,698,0,6,8,12,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,147,141,6,0,1,41,2,5,2,2,0,0,110,23,14,31,106,3,0,4,105,0,3,8,7,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,70,65,5,2,0,10,3,0,0,0,0,0,43,6,21,7,55,5,3,0,51,0,1,1,4,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,518,497,21,18,0,46,15,0,0,0,0,0,352,50,116,43,415,29,3,3,438,1,7,3,7,Matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,0.5,34,30,4,3,0,2,1,1,0,0,0,0,20,5,9,0,28,4,1,0,25,0,2,1,0,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,16.2,647,626,21,12,1,127,14,11,1,0,0,1,436,108,103,494,82,41,7,5,509,5,9,6,31,Matches
Federico Barba,it ITA,DF,Benevento,27-165,1993,15.2,797,637,160,38,0,77,18,13,0,0,0,0,476,135,186,544,90,39,115,2,627,2,21,14,24,Matches
Nicolò Barella,it ITA,MF,Inter,24-006,1997,18.0,1086,1063,23,12,2,186,22,27,2,2,0,0,792,143,151,143,891,21,9,2,888,1,14,22,36,Matches
Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,0.9,48,33,15,1,0,2,0,4,3,0,2,1,20,11,17,35,0,1,11,0,31,0,0,0,4,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,19.1,728,642,86,24,1,101,55,47,43,31,8,2,437,108,183,81,584,33,12,4,517,5,13,25,24,Matches
Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,3.6,127,121,6,1,0,14,8,9,4,0,4,0,83,20,24,10,111,4,1,0,92,0,3,0,5,Matches
Daniele Baselli,it ITA,MF,Torino,28-338,1992,0.8,43,43,0,0,0,7,0,1,0,0,0,0,28,10,5,3,33,5,0,0,33,0,1,1,2,Matches
Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,17.6,1317,1256,61,33,1,115,29,7,0,0,0,0,1016,121,180,1108,139,33,14,5,1181,4,9,20,15,Matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,9.8,626,518,108,14,2,56,11,22,11,0,10,1,371,127,128,435,92,8,83,1,494,3,15,4,29,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,42,40,2,2,0,3,0,0,0,0,0,0,35,5,2,17,24,1,0,0,39,0,1,0,0,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,795,759,36,32,0,83,16,2,0,0,0,0,632,67,96,70,663,30,4,3,696,2,9,8,9,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,127,123,4,3,1,23,0,1,0,0,0,0,82,23,22,11,95,13,1,1,94,1,1,4,0,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,442,404,38,2,10,109,20,13,1,1,0,0,296,84,62,85,308,16,2,6,314,2,4,13,25,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,444,416,28,20,0,59,13,7,4,3,1,0,352,49,43,91,333,11,4,1,383,0,3,8,12,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,494,472,22,15,1,61,16,3,7,2,3,0,382,30,82,419,47,16,0,2,429,3,2,9,10,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,1026,982,44,30,5,105,33,5,10,3,5,0,823,92,111,203,776,33,3,1,924,3,9,13,11,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,692,642,50,20,2,106,31,29,25,10,12,3,478,68,146,590,77,15,5,1,522,2,19,10,36,Matches
Álex Berenguer,es ESP,MF,Torino,25-224,1995,1.5,47,44,3,1,0,11,3,2,2,0,2,0,25,10,12,4,39,3,0,1,32,1,2,5,1,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,28-216,1992,14.5,714,569,145,23,0,81,10,14,0,0,0,0,418,155,141,44,504,32,122,0,569,2,14,10,29,Matches
Federico Bernardeschi,it ITA,"MF,DF",Juventus,26-363,1994,4.8,224,195,29,7,0,20,5,15,13,1,9,2,149,32,43,195,9,8,9,1,169,1,5,6,8,Matches
Daniel Bessa,it ITA,MF,Hellas Verona,28-030,1993,0.7,33,31,2,0,0,4,1,2,2,0,2,0,24,4,5,5,27,0,0,1,28,0,0,0,0,Matches
Cristiano Biraghi,it ITA,DF,Fiorentina,28-165,1992,18.9,1171,883,288,56,3,74,53,110,61,10,40,7,589,231,351,830,136,30,171,1,814,6,20,16,51,Matches
Davide Biraschi,it ITA,DF,Genoa,26-226,1994,4.5,280,239,41,7,0,29,4,4,0,0,0,0,176,38,66,7,228,9,34,0,214,3,6,1,11,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24-041,1997,10.8,387,381,6,2,0,83,2,10,0,0,0,0,321,45,21,31,339,6,4,4,339,1,2,8,13,Matches
Giacomo Bonaventura,it ITA,MF,Fiorentina,31-175,1989,13.8,572,541,31,14,1,93,22,15,14,1,11,1,416,64,92,116,427,13,2,7,470,2,5,9,13,Matches
Federico Bonazzoli,it ITA,FW,Torino,23-268,1997,3.5,67,59,8,0,0,14,2,1,0,0,0,0,52,7,8,47,15,5,0,0,58,0,1,1,1,Matches
Federico Bonazzoli,it ITA,FW,Sampdoria,23-268,1997,1.5,28,26,2,0,0,7,1,0,0,0,0,0,20,5,3,23,5,0,0,0,20,0,3,2,0,Matches
Kevin Bonifazi,it ITA,DF,Udinese,24-270,1996,11.6,555,527,28,26,0,48,4,1,0,0,0,0,436,43,76,182,343,16,2,4,499,0,7,4,3,Matches
Leonardo Bonucci,it ITA,DF,Juventus,33-288,1987,17.2,1169,1126,43,41,1,65,37,2,0,0,0,0,864,113,192,201,921,29,0,6,1053,4,8,11,9,Matches
Mehdi Bourabia,ma MAR,MF,Sassuolo,29-190,1991,5.2,331,318,13,9,0,38,5,2,2,0,2,0,258,27,46,50,258,13,1,1,281,1,1,3,7,Matches
Gleison Bremer,br BRA,DF,Torino,23-332,1997,17.0,938,903,35,33,0,93,28,0,0,0,0,0,728,67,143,171,724,28,2,2,813,2,11,6,18,Matches
Marcelo Brozović,hr CRO,MF,Inter,28-089,1992,14.9,1218,1132,86,42,2,124,63,18,43,10,17,3,874,168,176,168,997,34,1,4,1058,2,7,18,21,Matches
Gastón Brugman,uy URU,MF,Parma,28-159,1992,8.6,504,446,58,31,1,60,26,11,22,6,3,2,322,78,104,62,420,16,0,1,412,1,9,10,10,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23-277,1997,2.3,84,71,13,2,0,8,10,7,9,0,6,3,58,4,22,9,69,4,1,0,65,0,2,4,2,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,136,100,36,3,0,15,0,0,0,0,0,0,103,8,25,11,106,0,0,19,120,0,2,0,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,21-252,1999,3.8,211,197,14,11,0,10,5,0,0,0,0,0,166,21,24,167,33,5,3,0,185,0,7,3,2,Matches
Maxime Busi,be BEL,DF,Parma,21-122,1999,6.2,384,329,55,4,0,18,5,6,0,0,0,0,239,67,78,42,283,5,51,1,321,2,3,11,6,Matches
Martín Cáceres,uy URU,DF,Fiorentina,33-312,1987,13.1,658,585,73,26,0,40,26,18,1,0,0,0,428,92,138,148,425,27,46,5,537,1,11,7,19,Matches
Felipe Caicedo,ec ECU,FW,Lazio,32-161,1988,8.3,201,196,5,1,0,60,2,0,0,0,0,0,122,47,32,130,34,7,2,11,144,0,4,3,6,Matches
Arturo Calabresi,it ITA,"DF,FW",Bologna,24-333,1996,0.2,6,4,2,0,0,0,0,0,0,0,0,0,1,0,5,1,3,0,2,0,4,0,0,0,0,Matches
Davide Calabria,it ITA,DF,Milan,24-069,1996,20.5,1216,1043,173,26,3,78,20,37,1,0,1,0,730,200,286,92,917,51,146,1,952,11,19,24,27,Matches
Riccardo Calafiori,it ITA,DF,Roma,18-270,2002,0.2,9,6,3,1,0,1,0,0,0,0,0,0,7,2,0,7,0,0,2,0,8,0,0,1,0,Matches
Mattia Caldara,it ITA,DF,Atalanta,26-284,1994,0.8,37,35,2,1,0,6,5,0,0,0,0,0,24,7,6,4,30,2,1,0,35,0,0,0,2,Matches
Luca Caldirola,it ITA,DF,Benevento,30-012,1991,9.1,389,367,22,19,0,23,10,1,0,0,0,0,297,26,66,310,56,17,2,1,328,0,6,6,1,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",Milan,27-005,1994,15.7,923,777,146,48,4,94,67,42,90,49,29,4,627,83,213,67,827,16,4,5,710,2,14,17,24,Matches
Fabrizio Caligara,it ITA,MF,Cagliari,20-307,2000,2.0,68,61,7,4,0,13,1,4,1,1,0,0,45,8,15,45,13,4,2,1,53,0,1,1,1,Matches
José Callejón,es ESP,FW,Fiorentina,34-002,1987,5.7,175,164,11,3,2,27,6,15,0,0,0,0,116,29,30,18,139,6,7,2,127,1,2,3,12,Matches
Antonio Candreva,it ITA,MF,Sampdoria,33-351,1987,14.0,754,657,97,25,2,90,48,64,47,13,17,8,375,122,257,134,578,11,25,5,491,6,10,21,39,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27-198,1993,14.8,499,424,75,16,1,98,17,21,46,15,19,5,346,52,101,64,421,9,2,2,358,1,6,8,23,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33-191,1987,12.8,258,227,31,0,1,51,1,1,0,0,0,0,197,36,25,53,187,6,0,4,196,0,7,8,11,Matches
Andrea Carboni,it ITA,DF,Cagliari,20-009,2001,4.1,167,144,23,11,0,15,7,2,0,0,0,0,104,14,49,120,27,6,12,1,130,0,4,8,3,Matches
Giuseppe Caso,it ITA,MF,Genoa,22-066,1998,0.1,3,3,0,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,2,Matches
Samu Castillejo,es ESP,FW,Milan,26-026,1995,7.6,267,251,16,5,1,35,6,19,3,0,0,0,202,30,35,216,36,5,8,1,208,1,3,9,11,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,23-362,1997,16.1,559,535,24,12,2,94,30,19,5,0,1,4,407,71,81,90,445,6,7,4,436,6,11,7,23,Matches
Danilo Cataldi,it ITA,MF,Lazio,26-191,1994,3.2,252,229,23,11,0,33,10,5,10,5,3,1,172,30,50,49,191,6,2,2,207,1,3,2,4,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,28-278,1992,11.1,510,479,31,24,0,72,14,3,0,0,0,0,303,74,133,154,271,41,7,2,408,5,12,5,5,Matches
Federico Ceccherini,it ITA,DF,Fiorentina,28-278,1992,3.0,111,105,6,6,0,11,6,0,0,0,0,0,82,13,16,23,77,8,0,0,97,0,1,1,0,Matches
Luca Ceppitelli,it ITA,DF,Cagliari,31-186,1989,6.4,350,333,17,12,0,21,7,0,0,0,0,0,248,32,70,59,265,13,4,3,307,0,4,3,4,Matches
Alberto Cerri,it ITA,FW,Cagliari,24-303,1996,1.5,53,49,4,0,0,16,0,2,0,0,0,0,26,20,7,6,31,7,0,2,36,0,1,0,5,Matches
Julian Chabot,de GER,DF,Spezia,23-001,1998,14.0,784,733,51,46,0,67,43,2,0,0,0,0,595,70,119,630,82,45,5,1,686,1,18,10,5,Matches
Giorgio Chiellini,it ITA,DF,Juventus,36-183,1984,6.0,409,385,24,17,0,18,7,1,0,0,0,0,313,46,50,290,97,8,4,3,371,4,2,3,1,Matches
Federico Chiesa,it ITA,"MF,DF",Juventus,23-111,1997,11.6,369,358,11,2,3,40,9,33,0,0,0,0,257,58,54,76,271,11,9,0,287,0,2,11,15,Matches
Federico Chiesa,it ITA,DF,Fiorentina,23-111,1997,2.7,118,96,22,4,0,11,7,9,0,0,0,0,59,29,30,16,78,4,18,1,91,0,1,1,6,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,31-091,1989,11.6,852,836,16,15,0,69,9,1,0,0,0,0,729,61,62,70,734,19,1,3,787,0,2,6,5,Matches
Luca Cigarini,it ITA,MF,Crotone,34-238,1986,5.0,357,317,40,28,0,45,7,1,11,5,2,0,238,45,74,50,295,6,1,1,300,3,3,3,5,Matches
Antonio Cioffi,it ITA,FW,Napoli,18-056,2002,0.1,11,11,0,0,0,1,0,0,0,0,0,0,10,0,1,0,11,0,0,0,10,0,0,0,1,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,21-012,2000,6.7,205,202,3,0,1,54,2,7,0,0,0,0,152,35,18,23,165,13,0,2,147,1,5,5,15,Matches
Omar Colley,gm GAM,DF,Sampdoria,28-112,1992,14.8,610,588,22,21,0,63,18,4,0,0,0,0,370,73,167,411,136,38,1,2,484,2,11,10,6,Matches
Lorenzo Colombo,it ITA,FW,Milan,18-342,2002,1.0,14,14,0,0,0,7,0,1,0,0,0,0,9,1,4,7,4,2,0,0,8,0,1,0,3,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,738,539,199,55,1,41,10,0,0,0,0,0,433,35,270,38,598,1,0,83,588,3,10,5,2,Matches
Andrea Conti,it ITA,DF,Parma,26-348,1994,3.0,164,131,33,3,1,8,2,4,0,0,0,0,90,40,34,9,115,8,30,0,139,0,2,2,5,Matches
Andrea Conti,it ITA,DF,Milan,26-348,1994,0.3,25,22,3,1,1,1,0,1,0,0,0,0,20,2,3,1,21,1,2,0,21,0,0,1,0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,848,628,220,61,0,97,13,0,0,0,0,0,511,39,298,94,624,1,0,105,662,0,11,4,3,Matches
Andreas Cornelius,dk DEN,FW,Parma,27-334,1993,12.8,319,301,18,0,1,115,7,5,0,0,0,0,162,85,72,169,48,30,1,17,219,3,4,4,17,Matches
Joaquín Correa,ar ARG,FW,Lazio,26-184,1994,11.0,402,374,28,1,0,87,12,5,10,7,1,2,307,60,35,37,347,6,3,7,330,5,0,7,14,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,287,226,61,19,0,11,3,0,0,0,0,0,208,7,72,5,253,1,0,23,249,0,2,2,0,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,30-152,1990,0.5,27,23,4,0,0,6,0,1,4,3,0,1,19,2,6,26,1,0,0,0,20,0,1,1,1,Matches
Mamadou Coulibaly,sn SEN,MF,Udinese,22-010,1999,2.0,82,82,0,0,1,12,2,1,0,0,0,0,53,13,16,19,55,8,0,0,63,0,2,1,6,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,594,366,228,52,0,37,12,0,0,0,0,0,296,28,270,73,405,0,0,92,447,0,17,2,3,Matches
Domenico Criscito,it ITA,DF,Genoa,34-045,1986,10.0,462,410,52,25,0,31,17,9,2,0,1,1,291,53,118,336,67,25,25,2,372,4,8,10,5,Matches
Bryan Cristante,it ITA,"DF,MF",Roma,25-347,1995,10.5,665,629,36,35,1,75,18,4,1,0,1,0,474,69,122,63,574,14,0,0,556,1,8,15,8,Matches
Giovanni Crociata,it ITA,"DF,MF",Crotone,23-186,1997,0.3,16,15,1,0,0,0,0,2,0,0,0,0,12,1,3,2,13,0,1,0,11,0,1,1,0,Matches
Juan Cuadrado,co COL,DF,Juventus,32-263,1988,12.9,956,832,124,23,2,71,48,31,30,10,13,3,645,166,145,86,776,14,71,3,815,5,8,18,11,Matches
Giuseppe Cuomo,it ITA,DF,Crotone,23-011,1998,5.4,334,313,21,12,0,36,4,0,0,0,0,0,236,35,63,114,191,13,9,0,274,1,10,9,6,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,23-041,1998,2.2,56,53,3,0,0,13,1,2,0,0,0,0,37,13,6,9,41,1,0,1,44,0,4,0,2,Matches
Wylan Cyprien,fr FRA,MF,Parma,26-016,1995,4.3,274,252,22,9,0,40,13,3,13,2,9,1,207,28,39,34,231,7,0,1,229,1,3,5,3,Matches
Lennart-Marten Czyborra,de GER,DF,Genoa,21-286,1999,9.0,385,305,80,3,0,29,2,12,0,0,0,0,207,91,87,232,61,13,77,1,288,1,2,10,12,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,32-157,1988,4.4,273,250,23,11,0,24,5,3,0,0,0,0,213,36,24,58,189,5,12,3,242,2,0,8,3,Matches
Bryan Dabo,bf BFA,MF,Benevento,28-361,1992,7.5,312,303,9,7,0,70,7,6,1,0,1,0,197,50,65,61,194,24,0,2,232,1,6,6,10,Matches
Diogo Dalot,pt POR,DF,Milan,21-332,1999,4.5,231,191,40,5,0,28,6,4,2,0,0,0,148,35,48,30,157,5,33,0,186,2,3,8,4,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20-225,2000,12.1,466,439,27,1,0,95,13,20,14,9,2,0,317,76,73,60,362,17,8,6,329,1,7,16,20,Matches
Danilo,br BRA,DF,Juventus,29-213,1991,18.5,1495,1377,118,25,2,117,20,12,1,1,0,0,1133,190,172,185,1167,30,92,8,1336,5,18,22,18,Matches
Andrea Danzi,it ITA,"MF,DF",Hellas Verona,21-354,1999,1.2,39,39,0,0,0,6,0,0,0,0,0,0,20,8,11,11,25,1,0,1,25,2,0,0,5,Matches
Matteo Darmian,it ITA,DF,Parma,31-073,1989,2.3,100,80,20,2,0,8,1,0,0,0,0,0,59,20,21,14,65,2,18,0,78,1,2,3,5,Matches
Matteo Darmian,it ITA,DF,Inter,31-073,1989,6.4,291,231,60,3,0,38,3,18,0,0,0,0,166,75,50,47,170,7,57,0,229,4,4,7,12,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,25-269,1995,13.0,519,489,30,21,0,55,6,5,0,0,0,0,362,50,107,164,286,36,9,2,434,1,8,8,9,Matches
Sebastien De Maio,fr FRA,DF,Udinese,33-345,1987,6.9,306,290,16,15,0,29,2,1,0,0,0,0,215,33,58,31,234,25,1,1,266,0,6,0,2,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,26-265,1994,19.8,1140,993,147,77,5,160,68,64,62,18,31,3,731,132,277,23,1090,10,8,5,834,11,19,31,45,Matches
Mattia De Sciglio,it ITA,DF,Juventus,28-116,1992,0.3,12,12,0,0,0,3,0,1,0,0,0,0,8,3,1,3,8,1,0,0,9,0,0,0,1,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,32-266,1988,14.2,782,642,140,21,0,74,12,23,0,0,0,0,422,147,213,66,541,44,119,1,602,1,13,17,23,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,29-241,1991,7.2,214,203,11,3,0,39,2,5,0,0,0,0,169,22,23,179,22,7,0,1,181,0,3,0,6,Matches
Alessandro Deiola,it ITA,MF,Cagliari,25-196,1995,0.7,15,15,0,0,0,2,0,1,0,0,0,0,13,2,0,1,14,0,0,0,13,0,0,0,0,Matches
Alessandro Deiola,it ITA,MF,Spezia,25-196,1995,4.0,166,156,10,4,0,29,15,3,5,0,4,0,108,21,37,16,139,7,1,0,128,0,3,1,6,Matches
Lorenzo Del Pinto,it ITA,MF,Benevento,30-241,1990,0.1,7,6,1,1,0,0,0,0,0,0,0,0,5,2,0,0,6,1,0,0,4,0,0,1,0,Matches
Cristian Dell'Orco,it ITA,DF,Spezia,27-003,1994,2.7,134,111,23,8,0,12,6,0,0,0,0,0,77,28,29,86,16,11,15,1,103,0,2,2,4,Matches
Merih Demiral,tr TUR,DF,Juventus,22-345,1998,6.2,419,404,15,11,0,25,6,0,0,0,0,0,362,21,36,52,329,23,4,0,394,0,3,2,2,Matches
Diego Demme,de GER,MF,Napoli,29-084,1991,8.3,665,650,15,14,2,68,13,5,0,0,0,0,550,54,61,60,591,8,1,2,599,3,5,8,10,Matches
Stefano Denswil,nl NED,DF,Bologna,27-282,1993,1.3,79,70,9,5,0,7,4,0,0,0,0,0,60,8,11,60,12,2,4,0,64,0,2,1,6,Matches
Fabio Depaoli,it ITA,DF,Benevento,23-295,1997,3.0,115,87,28,0,0,18,0,4,2,1,1,0,49,26,40,2,81,4,26,1,80,0,2,2,8,Matches
Fabio Depaoli,it ITA,DF,Atalanta,23-295,1997,2.1,103,89,14,0,0,8,0,1,0,0,0,0,77,19,7,2,83,2,14,1,86,1,1,2,4,Matches
Fabio Depaoli,it ITA,MF,Sampdoria,23-295,1997,0.9,15,15,0,0,0,4,0,1,0,0,0,0,12,2,1,2,13,0,0,0,9,0,0,1,2,Matches
Kastriot Dermaku,al ALB,DF,Parma,29-029,1992,1.1,39,37,2,2,0,4,1,0,0,0,0,0,34,1,4,6,32,1,0,0,35,0,0,0,1,Matches
